gene	n_hits
ANGPTL4	153
ANGPTL5	4
ANGPTL6	2
ANGPTL7	7
ANGPTL8	6
ANHX	1
ANK1	12
ANK2	13
ANK3	11
ANKAR	0
ANKDD1A	1
ANKDD1B	0
ANKEF1	1
ANKFN1	0
ANKFY1	0
ANKH	5
ANKHD1	7
ANKIB1	0
ANKK1	6
ANKLE1	11
ANKLE2	1
ANKMY1	0
ANKMY2	0
ANKRA2	1
ANKRD1	17
ANKRD2	3
ANKRD6	6
ANKRD7	2
ANKRD9	1
ANKRD10	2
ANKRD11	10
ANKRD12	3
ANKRD13A	0
ANKRD13B	0
ANKRD13C	0
ANKRD13D	0
ANKRD16	1
ANKRD17	4
ANKRD18A	1
ANKRD18B	2
ANKRD20A1	0
ANKRD22	8
ANKRD23	1
ANKRD24	0
ANKRD26	8
ANKRD27	1
ANKRD28	3
ANKRD29	1
ANKRD30A	7
ANKRD30B	0
ANKRD30BL	1
ANKRD31	1
ANKRD33	0
ANKRD33B	0
ANKRD34A	0
ANKRD34B	1
ANKRD34C	0
ANKRD35	1
ANKRD36	4
ANKRD36B	1
ANKRD36C	2
ANKRD37	2
ANKRD39	0
ANKRD40	1
ANKRD40CL	0
ANKRD42	0
ANKRD44	2
ANKRD45	1
ANKRD46	4
ANKRD49	3
ANKRD50	2
ANKRD52	4
ANKRD53	0
ANKRD54	0
ANKRD55	3
ANKRD60	0
ANKRD61	0
ANKRD62	0
ANKRD63	0
ANKRD65	0
ANKRD66	0
ANKS1A	3
ANKS1B	4
ANKS3	0
ANKS4B	1
ANKS6	2
ANKUB1	0
ANKZF1	4
ANLN	78
ANO1	88
ANO2	8
ANO3	2
ANO4	3
ANO5	9
ANO6	12
ANO7	10
ANO8	2
ANO9	5
ANO10	4
ANOS1	4
ANP32A	14
ANP32B	6
ANP32D	1
ANP32E	10
ANPEP	23
ANTKMT	0
ANTXR1	26
ANTXR2	4
ANTXRL	0
ANXA1	212
ANXA2	216
ANXA2R	0
ANXA3	64
ANXA4	33
ANXA5	48
ANXA6	27
ANXA7	31
ANXA8	15
ANXA8L1	0
ANXA9	4
ANXA10	39
ANXA11	9
ANXA13	4
AOAH	4
AOC1	3
AOC2	1
AOC3	5
AOPEP	0
AOX1	37
AP1AR	0
AP1B1	0
AP1G1	5
AP1G2	1
AP1M1	2
AP1M2	4
AP1S1	1
AP1S2	3
AP1S3	3
AP2A1	4
AP2A2	3
AP2B1	5
AP2M1	10
AP2S1	4
AP3B1	4
AP3B2	6
AP3D1	2
AP3M1	2
AP3M2	0
AP3S1	2
AP3S2	0
AP4B1	1
AP4E1	0
AP4M1	0
AP4S1	0
AP5B1	1
AP5M1	2
AP5S1	0
AP5Z1	0
APAF1	119
APBA1	1
APBA2	3
APBA3	3
APBB1	2
APBB1IP	7
APBB2	1
APBB3	1
APC	600
APC2	59
APCDD1	11
APCDD1L	5
APCS	600
APEH	9
APELA	7
APEX1	106
APEX2	5
APH1A	5
APH1B	3
API5	19
APIP	8
APLF	8
APLN	22
APLNR	15
APLP1	5
APLP2	26
APMAP	3
APOA1	109
APOA2	25
APOA4	23
APOA5	4
APOB	133
APOBEC1	27
APOBEC2	6
APOBEC3A	96
APOBEC3B	172
APOBEC3C	14
APOBEC3D	9
APOBEC3F	15
APOBEC3G	65
APOBEC3H	19
APOBEC4	1
APOBR	1
APOC1	26
APOC2	12
APOC3	17
APOC4	4
APOD	49
APOE	360
APOF	2
APOH	13
APOL1	12
APOL2	2
APOL3	5
APOL4	0
APOL5	0
APOL6	2
APOLD1	3
APOM	15
APOO	0
APOOL	0
APP	600
APPBP2	8
APPL1	26
APPL2	9
APRT	54
APTX	8
AQP1	123
AQP2	19
AQP3	117
AQP4	63
AQP5	102
AQP6	3
AQP7	10
AQP8	31
AQP9	31
AQP10	4
AQP11	7
AQP12A	0
AQP12B	0
AQR	3
AR	600
ARAF	47
ARAP1	11
ARAP2	4
ARAP3	8
ARC	600
